+--------------------------------------+-------------------+-------+------+-----------+-------+-----------+
| ID                                   | Name              |   RAM | Disk | Ephemeral | VCPUs | Is Public |
+--------------------------------------+-------------------+-------+------+-----------+-------+-----------+
| 09dc3eb9-fc46-44b1-8928-acd42f723747 | Standard-4-12     | 12288 |    0 |         0 |     4 | True      |
| 12dc66d3-828c-4495-a5ca-ea1710c33174 | Advanced-12-24    | 24576 |    0 |         0 |    12 | True      |
| 19b38715-48cd-495b-9391-4c4e9d424518 | Basic-1-2-40      |  2048 |   40 |         0 |     1 | True      |
| 25ae869c-be29-4840-8e12-99e046d2dbd4 | Basic-1-2-20      |  2048 |   20 |         0 |     1 | True      |
| 283fa444-8d59-4e83-b6f4-90613c52a5a4 | Advanced-8-16-100 | 16384 |  100 |         0 |     8 | True      |
| 2c7c3f57-b5a4-4139-af7d-d5f05d70c703 | Standard-6-24     | 24576 |    0 |         0 |     6 | True      |
| 4e115a9b-0ac2-440d-a120-95cf130d63c7 | Standard-2-2      |  2048 |    0 |         0 |     2 | True      |
| 52f90145-a38e-438d-9c4b-3874b6355db3 | Advanced-8-8      |  8192 |    0 |         0 |     8 | True      |
| 59f7faf3-d817-4cb8-ae69-8b4b92565f94 | Advanced-16-64-50 | 65536 |   50 |         0 |    16 | True      |
| 5fb1ab8f-fdab-4b43-a785-ef87b06ed2dd | Standard-6-6      |  6144 |    0 |         0 |     6 | True      |
| 670f9d36-d01b-4a4a-a8e5-c88cfb9ea0ec | Advanced-16-32-50 | 32768 |   50 |         0 |    16 | True      |
| 684e04db-13d6-4879-aff7-14cb98e7577a | Advanced-8-24     | 24576 |    0 |         0 |     8 | True      |
| 69cd369e-312a-4098-bdd9-112d092b7ad3 | Advanced-12-36    | 36864 |    0 |         0 |    12 | True      |
| 6d89f25a-a4b5-4b4d-b2fa-d08d701e5106 | Advanced-12-12    | 12288 |    0 |         0 |    12 | True      |
| 738b4989-2105-45aa-acf5-ed243d59a968 | Standard-6-12     | 12288 |    0 |         0 |     6 | True      |
| 76fd2a82-4095-49b7-acc9-80ee90284ce9 | Advanced-8-32-50  | 32768 |   50 |         0 |     8 | True      |
| 7e6f3416-f74a-40b5-86e8-82d14615f329 | Basic-1-4-50      |  4096 |   50 |         0 |     1 | True      |
| 7f04b02c-5260-4b5d-bccf-4151c5ade92d | Advanced-8-16-160 | 16384 |  160 |         0 |     8 | True      |
| 8a1d1408-aa72-4fa7-acd5-b906c6e41f4e | Advanced-16-48    | 49152 |    0 |         0 |    16 | True      |
| 8b64c09b-7141-41ad-a81e-9f5a8dbbd87e | Standard-2-6      |  6144 |    0 |         0 |     2 | True      |
| 908479b5-1138-46b6-b746-48bf6c24e548 | Standard-4-8-80   |  8192 |   80 |         0 |     4 | True      |
| 9cae787c-25f8-4b77-bd91-9eab98ba498c | Standard-6-18     | 18432 |    0 |         0 |     6 | True      |
| a82ce79c-b45f-43de-bb73-3c793975cae0 | Advanced-16-16    | 16384 |    0 |         0 |    16 | True      |
| b7d20f15-82f1-4ed4-a12e-e60277fe955f | Standard-2-4-50   |  4096 |   50 |         0 |     2 | True      |
| bf714720-78da-4271-ab7d-0cf5e2613f14 | Standard-2-8-50   |  8192 |   50 |         0 |     2 | True      |
| d659fa16-c7fb-42cf-8a5e-9bcbe80a7538 | Standard-2-4-40   |  4096 |   40 |         0 |     2 | True      |
| df3c499a-044f-41d2-8612-d303adc613cc | Basic-1-1-10      |  1024 |   10 |         0 |     1 | True      |
| ea26a8fe-5915-4bda-abdc-34b0be148e97 | Standard-4-16-50  | 16384 |   50 |         0 |     4 | True      |
| f9e5778d-903c-4ce9-b89c-9d3dd0347e9e | Standard-4-4      |  4096 |    0 |         0 |     4 | True      |
| ff36d8ec-a8f8-4f37-a965-3f51fde411fc | Advanced-12-48    | 49152 |    0 |         0 |    12 | True      |
+--------------------------------------+-------------------+-------+------+-----------+-------+-----------+
